nutrient_mass_fraction,emissions_total,emissions_units,nutrient_name,product_name,product_category
0.123,1.4000000000000004,CO2 equivilant emissions (kg) / product mass (kg),Protein,Wheat & Rye (Bread),plants
0.0875,1.1,CO2 equivilant emissions (kg) / product mass (kg),Protein,Maize (Meal),plants
0.123,1.4000000000000004,CO2 equivilant emissions (kg) / product mass (kg),Protein,Wheat & Rye (Bread),plants
0.0875,1.1,CO2 equivilant emissions (kg) / product mass (kg),Protein,Maize (Meal),plants
0.12480000000000001,1.1,CO2 equivilant emissions (kg) / product mass (kg),Protein,Barley (Beer),plants
0.0239,1.6,CO2 equivilant emissions (kg) / product mass (kg),Protein,Oatmeal,plants
0.026699999999999998,4.0,CO2 equivilant emissions (kg) / product mass (kg),Protein,Rice,plants
0.0248,0.30000000000000004,CO2 equivilant emissions (kg) / product mass (kg),Protein,Potatoes,plants
0.013600000000000001,0.9,CO2 equivilant emissions (kg) / product mass (kg),Protein,Cassava,plants
0.0012,2.6,CO2 equivilant emissions (kg) / product mass (kg),Protein,Cane Sugar,plants
0.035699999999999996,1.4,CO2 equivilant emissions (kg) / product mass (kg),Protein,Beet Sugar,plants
0.054200000000000005,0.7999999999999999,CO2 equivilant emissions (kg) / product mass (kg),Protein,Peas,plants
0.2115,0.2,CO2 equivilant emissions (kg) / product mass (kg),Protein,Nuts,plants
0.2519,2.4,CO2 equivilant emissions (kg) / product mass (kg),Protein,Groundnuts,plants
0.026,1.0,CO2 equivilant emissions (kg) / product mass (kg),Protein,Soymilk,plants
0.0824,3.0,CO2 equivilant emissions (kg) / product mass (kg),Protein,Tofu,plants
0.0,5.999999999999999,CO2 equivilant emissions (kg) / product mass (kg),Protein,Soybean Oil,plants
0.0,7.6000000000000005,CO2 equivilant emissions (kg) / product mass (kg),Protein,Palm Oil,plants
0.0,3.5000000000000004,CO2 equivilant emissions (kg) / product mass (kg),Protein,Sunflower Oil,plants
0.0,3.7,CO2 equivilant emissions (kg) / product mass (kg),Protein,Rapeseed Oil,plants
0.0,6.0,CO2 equivilant emissions (kg) / product mass (kg),Protein,Olive Oil,plants
0.0088,1.4000000000000001,CO2 equivilant emissions (kg) / product mass (kg),Protein,Tomatoes,plants
0.011,0.30000000000000004,CO2 equivilant emissions (kg) / product mass (kg),Protein,Onions & Leeks,plants
0.009,0.30000000000000004,CO2 equivilant emissions (kg) / product mass (kg),Protein,Root Vegetables,plants
0.0282,0.4,CO2 equivilant emissions (kg) / product mass (kg),Protein,Brassicas,plants
0.007,0.3,CO2 equivilant emissions (kg) / product mass (kg),Protein,Citrus Fruit,plants
0.0109,0.7999999999999999,CO2 equivilant emissions (kg) / product mass (kg),Protein,Bananas,plants
0.0026,0.30000000000000004,CO2 equivilant emissions (kg) / product mass (kg),Protein,Apples,plants
0.007199999999999999,1.0999999999999999,CO2 equivilant emissions (kg) / product mass (kg),Protein,Berries & Grapes,plants
0.0007000000000000001,1.4,CO2 equivilant emissions (kg) / product mass (kg),Protein,Wine,plants
0.0554,18.7,CO2 equivilant emissions (kg) / product mass (kg),Protein,Dark Chocolate,plants
0.228,59.599999999999994,CO2 equivilant emissions (kg) / product mass (kg),Protein,Beef (beef herd),meats
0.228,21.099999999999998,CO2 equivilant emissions (kg) / product mass (kg),Protein,Beef (dairy herd),meats
0.1656,24.5,CO2 equivilant emissions (kg) / product mass (kg),Protein,Lamb & Mutton,meats
0.2569,7.2,CO2 equivilant emissions (kg) / product mass (kg),Protein,Pig Meat,meats
0.1744,6.1000000000000005,CO2 equivilant emissions (kg) / product mass (kg),Protein,Poultry Meat,meats
0.0315,2.8000000000000003,CO2 equivilant emissions (kg) / product mass (kg),Protein,Milk,dairy
0.2696,21.2,CO2 equivilant emissions (kg) / product mass (kg),Protein,Cheese,dairy
0.124,4.5,CO2 equivilant emissions (kg) / product mass (kg),Protein,Eggs,dairy
0.15230000000000002,5.1,CO2 equivilant emissions (kg) / product mass (kg),Protein,Fish (farmed),meats
0.201,11.8,CO2 equivilant emissions (kg) / product mass (kg),Protein,Shrimps (farmed),meats
